Site,Code,Ucode,Type,StateCode,Tstart,Tstop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEname,Ename,Uname
POR16,LP19,-,LP,,1965,1965,POR16 LP19,1965 Shokalskiy expedition LP19,-,179.8667,6.7333,0.002,AN,-,-,-
POR16,LP20,-,LP,,1965,1965,POR16 LP20,1965 Shokalskiy expedition LP20,-,179.45,11.3333,0.002,AN,-,-,-
POR16,LP21,-,LP,,1965,1965,POR16 LP21,1965 Shokalskiy expedition LP21,-,172.5172,17.9844,0.002,AN,-,-,-
POR16,LP22,-,LP,,1965,1965,POR16 LP22,1965 Shokalskiy expedition LP22,-,167.8356,18.1008,0.002,AN,-,-,-
POR16,LP23,-,LP,,1965,1965,POR16 LP23,1965 Shokalskiy expedition LP23,-,163.7514,17.6167,0.002,AN,-,-,-
POR16,LP24,-,LP,,1965,1965,POR16 LP24,1965 Shokalskiy expedition LP24,-,164.6167,18.0333,0.002,AN,-,-,-
POR16,LP25,-,LP,,1965,1965,POR16 LP25,1965 Shokalskiy expedition LP25,-,164.9356,10.9022,0.002,AN,-,-,-
POR16,LP26,-,LP,,1965,1965,POR16 LP26,1965 Shokalskiy expedition LP26,-,166.0014,6.4525,0.002,AN,-,-,-
POR16,LP27,-,LP,,1965,1965,POR16 LP27,1965 Shokalskiy expedition LP27,-,166.0014,-1.0328,0.002,AN,-,-,-
POR16,LP28,-,LP,,1965,1965,POR16 LP28,1965 Shokalskiy expedition LP28,-,165,5.6169,0.002,AN,-,-,-
POR16,LP29,-,LP,,1965,1965,POR16 LP29,1965 Shokalskiy expedition LP29,-,165,8.9181,0.002,AN,-,-,-
POR16,LP30,-,LP,,1965,1965,POR16 LP30,1965 Shokalskiy expedition LP30,-,165.0005,3.3006,0.002,AN,-,-,-
POR16,LP31,-,LP,,1965,1965,POR16 LP31,1965 Shokalskiy expedition LP31,-,165.0669,21.2003,0.002,AN,-,-,-
POR16,LP32,-,LP,,1965,1965,POR16 LP32,1965 Shokalskiy expedition LP32,-,165.0167,25.1525,0.002,AN,-,-,-
POR16,LP33,-,LP,,1965,1965,POR16 LP33,1965 Shokalskiy expedition LP33,-,165,29.6,0.002,AN,-,-,-
POR16,LP34,-,LP,,1965,1965,POR16 LP34,1965 Shokalskiy expedition LP34,-,165.0167,33.0686,0.002,AN,-,-,-
POR16,M9072,-,LP,,-,-,UNKO  M9072,Unknown Soviet cruise meteo launch site,-,150,21.5,0.1,-,-,-,-
POR20,M9002,-,LP,,-,-,POR20 M9002,1960 Soviet Pacific   meteo launch site,-,175.7,36.7,0.1,-,-,-,-
POR20,M9003,-,LP,,-,-,POR20 M9003,1960 Soviet Pacific   meteo launch site,-,169.4,26,0.1,-,-,-,-
POR20,M9004,-,LP,,-,-,POR20 M9004,1960 Soviet Pacific   meteo launch site,-,167,23.1,0.1,-,-,-,-
POR20,M9005,-,LP,,-,-,POR20 M9005,1960 Soviet Pacific   meteo launch site,-,163.4,20.5,0.1,-,-,-,-
POR20,M9006,-,LP,,-,-,POR20 M9006,1960 Soviet Pacific   meteo launch site,-,160.1,18.1,0.1,-,-,-,-
POR20,M9007,-,LP,,-,-,POR20 M9007,1960 Soviet Pacific   meteo launch site,-,157.2,16.1,0.1,-,-,-,-
POR20,M9008,-,LP,,-,-,POR20 M9008,1960 Soviet Pacific   meteo launch site,-,155.2,14.4,0.1,-,-,-,-
POR20,M9009,-,LP,,-,-,POR20 M9009,1960 Soviet Pacific   meteo launch site,-,154.4,13.9,0.1,-,-,-,-
POR20,M9010,-,LP,,-,-,POR20 M9010,1960 Soviet Pacific   meteo launch site,-,151.7,11.6,0.1,-,-,-,-
POR20,M9011,-,LP,,-,-,POR20 M9011,1960 Soviet Pacific   meteo launch site,-,149.9,10,0.1,-,-,-,-
POR20,M9012,-,LP,,-,-,POR20 M9012,1960 Soviet Pacific   meteo launch site,-,149.5,10.4,0.1,-,-,-,-
POR20,M9013,-,LP,,-,-,POR20 M9013,1960 Soviet Pacific   meteo launch site,-,149.2,14.1,0.1,-,-,-,-
POR20,M9014,-,LP,,-,-,POR20 M9014,1960 Soviet Pacific   meteo launch site,-,149,14.5,0.1,-,-,-,-
POR20,M9015,-,LP,,-,-,POR20 M9015,1960 Soviet Pacific   meteo launch site,-,148.6,17.1,0.1,-,-,-,-
POR20,M9016,-,LP,,-,-,POR20 M9016,1960 Soviet Pacific   meteo launch site,-,148.1,19.5,0.1,-,-,-,-
POR20,M9017,-,LP,,-,-,POR20 M9017,1960 Soviet Pacific   meteo launch site,-,179.7,42.4,0.1,-,-,-,-
POR20,M9018,-,LP,,-,-,POR20 M9018,1960 Soviet Pacific   meteo launch site,-,179.6,42.2,0.1,-,-,-,-
POR20,M9019,-,LP,,-,-,POR20 M9019,1960 Soviet Pacific   meteo launch site,-,179.9,42,0.1,-,-,-,-
POR20,M9020,-,LP,,-,-,POR20 M9020,1960 Soviet Pacific   meteo launch site,-,179.4,42.2,0.1,-,-,-,-
POR20,M9021,-,LP,,-,-,POR20 M9021,1960 Soviet Pacific   meteo launch site,-,179.7,42.1,0.1,-,-,-,-
POR20,M9022,-,LP,,-,-,POR20 M9022,1960 Soviet Pacific   meteo launch site,-,180,35.7,0.1,-,-,-,-
POR20,M9023,-,LP,,-,-,POR20 M9023,1960 Soviet Pacific   meteo launch site,-,180,32,0.1,-,-,-,-
POR21,M9024,-,LP,,-,-,POR21 M9024,1960 POR Soviet cruise meteo launch site,-,180,28.3,0.1,-,-,-,-
POR21,M9025,-,LP,,-,-,POR21 M9025,1960 POR Soviet cruise meteo launch site,-,180,24.7,0.1,-,-,-,-
POR21,M9026,-,LP,,-,-,POR21 M9026,1960 POR Soviet cruise meteo launch site,-,180,21.2,0.1,-,-,-,-
POR21,M9027,-,LP,,-,-,POR21 M9027,1960 POR Soviet cruise meteo launch site,-,180,13.5,0.1,-,-,-,-
POR21,M9028,-,LP,,-,-,POR21 M9028,1960 POR Soviet cruise meteo launch site,-,180,9.9,0.1,-,-,-,-
POR21,M9029,-,LP,,-,-,POR21 M9029,1960 POR Soviet cruise meteo launch site,-,179,-1.3,0.1,-,-,-,-
POR21,M9030,-,LP,,-,-,POR21 M9030,1960 POR Soviet cruise meteo launch site,-,180,5.3,0.1,-,-,-,-
POR21,M9031,-,LP,,-,-,POR21 M9031,1960 POR Soviet cruise meteo launch site,-,180,9.6,0.1,-,-,-,-
POR21,M9032,-,LP,,-,-,POR21 M9032,1960 POR Soviet cruise meteo launch site,-,177.4,12.2,0.1,-,-,-,-
POR21,M9033,-,LP,,-,-,POR21 M9033,1960 POR Soviet cruise meteo launch site,-,175.4,13.4,0.1,-,-,-,-
POR21,M9034,-,LP,,-,-,POR21 M9034,1960 POR Soviet cruise meteo launch site,-,179.2,41.8,0.1,-,-,-,-
POR21,M9035,-,LP,,-,-,POR21 M9035,1960 POR Soviet cruise meteo launch site,-,179.5,42,0.1,-,-,-,-
POR21,M9036,-,LP,,-,-,POR21 M9036,1960 POR Soviet cruise meteo launch site,-,179.5,39,0.1,-,-,-,-
POR21,M9037,-,LP,,-,-,POR21 M9037,1960 POR Soviet cruise meteo launch site,-,179.8,38,0.1,-,-,-,-
POR21,M9038,-,LP,,-,-,POR21 M9038,1960 POR Soviet cruise meteo launch site,-,179.8,34,0.1,-,-,-,-
POR21,M9039,-,LP,,-,-,POR21 M9039,1960 POR Soviet cruise meteo launch site,-,179.8,27.1,0.1,-,-,-,-
POR21,M9040,-,LP,,-,-,POR21 M9040,1960 POR Soviet cruise meteo launch site,-,179.8,23.5,0.1,-,-,-,-
POR21,M9041,-,LP,,-,-,POR21 M9041,1960 POR Soviet cruise meteo launch site,-,179.8,19.9,0.1,-,-,-,-
POR21,M9042,-,LP,,-,-,POR21 M9042,1960 POR Soviet cruise meteo launch site,-,179.8,12.9,0.1,-,-,-,-
POR21,M9043,-,LP,,-,-,POR21 M9043,1960 POR Soviet cruise meteo launch site,-,179.8,9.7,0.1,-,-,-,-
POR21,M9044,-,LP,,-,-,POR21 M9044,1960 POR Soviet cruise meteo launch site,-,179.8,3.2,0.1,-,-,-,-
POR21,M9045,-,LP,,-,-,POR21 M9045,1960 POR Soviet cruise meteo launch site POR,-,179.8,0.1,0.1,-,-,-,-
POR22,LP1,-,LP,,22-Mar-49,22-Mar-49,POR22 LP1,Pacific Ocean Launch Site 22 1,-,-88.43,-11.1,0.02,USN,-,-,-
POR22,LP2,-,LP,,24-Mar-49,24-Mar-49,POR22 LP2,Pacific Ocean Launch Site 22 2,-,-82.13,-11.27,0.02,USN,-,-,-
POR23,LP01,-,LP,,Jul-77,Jul-77,POR23 LP1,1977 Korolev expedition,-,-149.2,18.42,0.02,GMS,-,-,-
POR23,LP02,-,LP,,Jul-77,Jul-77,POR23 LP2,1977 Korolev expedition,-,-148.85,18.42,0.02,GMS,-,-,-
POR23,LP03,-,LP,,Jul-77,Jul-77,POR23 LP3,1977 Korolev expedition,-,-126.25,14.28,0.02,GMS,-,-,-
POR23,LP04,-,LP,,Jul-77,Jul-77,POR23 LP4,1977 Korolev expedition,-,-126.12,14.28,0.02,GMS,-,-,-
POR23,LP05,-,LP,,Jul-77,Jul-77,POR23 LP5,1977 Korolev expedition,-,-125.9,14.25,0.02,GMS,-,-,-
POR23,LP06,-,LP,,Jul-77,Jul-77,POR23 LP6,1977 Korolev expedition,-,-104.63,10.35,0.02,GMS,-,-,-
POR23,LP07,-,LP,,Jul-77,Jul-77,POR23 LP7,1977 Korolev expedition,-,-104.2,10.28,0.02,GMS,-,-,-
POR23,LP08,-,LP,,Jul-77,Jul-77,POR23 LP8,1977 Korolev expedition,-,-103.8,10.22,0.02,GMS,-,-,-
POR23,LP09,-,LP,,Jul-77,Jul-77,POR23 LP9,1977 Korolev expedition,-,-93.05,7.88,0.02,GMS,-,-,-
POR23,LP10,-,LP,,Jul-77,Jul-77,POR23 LP10,1977 Korolev expedition,-,-92.75,7.77,0.02,GMS,-,-,-
RLAKE,MCM,-,LP,,26-Feb-79,27-Feb-79,RLAKE MCM,"Red Lake, McMarmac Site, Ontario, Canada",-,-93.47,50.88,0.2,NRCC,-,-,-
RLAKE,CHK,-,LP,,26-Feb-79,27-Feb-79,RLAKE CHK,"Red Lake, Chukuni Range, Ontario, Canada",-,-93.4538,50.9007,0.0001,NRCC,-,-,-
RLAKE,COCH,-,LP,,26-Feb-79,27-Feb-79,RLAKE COCH,"Red Lake, Cocheour Site, Ontario, Canada",-,-93.47,50.88,0.2,NRCC,-,-,-
RODR,M9046,-,LP,,1968,1969,IOR4  M9046,Soviet meteo ship launch site near Rodrigues Island,Indian Ocean,65,-20,0.1,SU,-,-,-
ROS,WAL,-,LP,,1959,1967,ROS   WAL,"Waldrip drop zone, Rosamund Dry Lake, California",-,-118.1,34.72,0.01,NASA/USAF,-,-,-
ROS,A,-,LP,,1964,1965,ROS   A,"Rosamund Dry Lake, California (drop point A)",-,-118.05,35,0.01,NASA/USAF,-,-,-
ROS,B,-,LP,,1960,1960,ROS   B,"Rosamund Dry Lake, California (drop point B)",-,-118.33,34.72,0.01,NASA/USAF,-,-,-
ROS,C,-,LP,,1959,1960,ROS   C,"Rosamund Dry Lake, California (drop point C)",-,-118.02,34.76,0.01,NASA/USAF,-,-,-
ROS,D,-,LP,,1959,1959,ROS   D,"Rosamund Dry Lake, California (drop point D)",-,-118.1,34.76,0.01,NASA/USAF,-,-,-
SCL,E,-,LP,,1957,1960s,SCL   E,"Starstruck offshore site, 16 km E of San Clemente Island, California",-,-118.5,32.92,0.04,USN,-,-,-
SDQ,SL,-,LP,,1959,*,SDQ   SL,"San Lorenzo pad, Salto di Quirra, Perdas de Fogu, Sardegna",-,9.65,39.5,0.02,I,-,-,-
SDQ,NHER,-,LP,,-,-,PISQ,"Nike Hercules pad, Salto di Quirra",-,9.6229,39.5038,0.0001,I,-,-,-
SDQ,BASE,-,LP,,-,-,PISQ,"Base camp, Perdasdefogu",-,9.4432,39.6777,0.0001,I,-,-,-
SDQ,UNK1,-,LP,,-,-,PISQ,"Hawk missile site at Capo San Lorenzo, Salto di Quirra",-,9.6361,39.5418,0.0001,I,-,-,-
SEM,SAF,-,LP,,2013,-,SEM   SAF,"Safir pad, Semnan, Iran",-,53.921,35.2347,0.0002,IR,-,-,-
SEM,IKSC,-,LP,,2013,-,SEM   IKSC,"Imam Khomeini Space Launch Center, Semnan, Iran",-,53.9522,35.2369,0.0002,IR,-,-,-
SHAR,RH,-,LP,,09-Oct-71,*,SHAR  RH,"Sounding rocket complex, Sriharikota Range",-,80.303,13.621,0.02,ISRO,-,-,-
SHAR,SLV,-,LP,,Aug-79,*,SHAR  SLV,"SLV pad, Sriharikota Range",-,80.299,13.542,0.02,ISRO,-,-,-
SHAR,FLP,-,LP,,1990,*,SHAR  PSLV,"PSLV pad, Sriharikota Range",-,80.293,13.576,0.02,ISRO,-,-,-
SHAR,SLP,-,LP,,1990,*,SHAR  SLP,"GSLV pad 2, Sriharikota Range",-,80.293,13.576,0.1,ISRO,-,-,-
SIL,A,-,LP,,1959,1967,SIL   A,"Silver Lake 1 drop zone, California",-,-115.8,35.53,0.1,NASA/USAF,-,-,-
SIL,B,-,LP,,1959,1967,SIL   B,"Silver Lake 2 drop zone, California",-,-115.95,35.58,0.1,NASA/USAF,-,-,-
SIL,C,-,LP,,1959,1967,SIL   C,"Silver Lake drop zone, California",-,-115.85,35.12,0.1,NASA/USAF,-,-,-
SIL,RW15/33,-,LP,,1959,1967,SIL   RW15/33,"RW15/33, Silver Lake lakebed, California",-,-116.1,35.33,0.1,NASA/USAF,-,-,-
SIP,RAG,-,LP,,12-Dec-80,11-Jan-81,SIP   RAG,"Siple Station, Ellsworth Land, Antarctica (RAG launcher)",-,-84.251,-75.9384,0.02,NASA,-,-,-
SIP,A,-,LP,,12-Dec-80,11-Jan-81,SIP   A,"Siple Station, Ellsworth Land, Antarctica (Arcas launcher)",-,-84.2481,-75.9391,0.02,NASA,-,-,-
SMLC,SMLP,-,LP,,1964,*,SMLC  -,"San Marco Platform, San Marco Launch Complex, Formosa Bay, Kenya",-,40.2134,-2.9408,0.0002,I,-,-,-
SMLC,Rita,-,LP,,1964,1965,SMLC  Rita,"Santa Rita Platform, San Marco Range, Formosa Bay, Kenya",-,40.21,-2.9386,0.0002,I,-,-,-
SNI,RS,-,LP,,1965,1965,SNI RS,"Redstone launch pad, San Nicolas I.",-,-119.571,33.2596,0.0001,USN,-,-,-
SNI,PC1,-,LP,,1965,1965,SNI PC1,"Probe Complex No. 1, San Nicolas I.",-,-119.571,33.2596,0.01,USN,-,-,-
SOHAE,LC1,-,LP,,20-Aug,*,TONG  -,"Sohae Launch Site, Tongch'ang-dong, Pyongang-bukdo (N Pyongan Prov), N Korea",-,124.7053,39.6601,0.0001,CMIK,-,-,-
SOHAE,LP1,-,LP,,2016,*,TONG  -,"Scud launch point, Tongch'ang-dong, Pyongang-bukdo (N Pyongan Prov), N Korea",-,124.7117,39.6811,0.0001,CMIK,-,-,-
SOZEK,LC3/8,-,LP,,1968,1969,SOZEK,"Sary Ozek missile base, Kazakhstan",-,67.65,43.3,0.2,RVSN,-,-,-
SSG,HAD,-,LP,,1971,1992,SSG   HAD,"HAD Launcher, Sondestrom",-,-50.5974,67.0237,0.0001,USAF,-,-,-
SSG,MRL,-,LP,,1971,1992,SSG   MRL,"MRL Launcher, Sondestrom",-,-50.5974,67.0235,0.0001,USAF,-,-,-
SSG,DL,-,LP,,1971,1992,SSG   DL,"Danish Launcher, Sondestrom",-,-50.5965,67.0218,0.0001,USAF,-,-,-
SSG,T,-,LP,,1986,1992,SSG   T,"Test Launcher, Sondestrom",-,-50.5965,67.023,0.0001,USAF,-,-,-
SSG,MORABA,-,LP,,1974,1975,SSG   MORABA,"MORABA Launcher, Sondestrom",-,-50.5974,67.0237,0.01,DLR,-,-,-
SSG,HAD3,-,LP,,1986,1992,SSG   HAD3,"HAD Launcher No 3, Sondestrom",-,-50.5972,67.0232,0.0001,USAF,-,-,-
SPFL,SLC46,LC46,LP,,15-Jan-87,*,SPFL  SLC46,"Space Launch Complex 46, Spaceport Florida, Cape Canaveral",-,-80.5272,28.4583,0.0002,SPFL,-,-,-
SPFL,SLC47,LC47,LP,,20-Jun,*,SPFL  SLC47,"Space Launch Complex 47, Spaceport Florida, Cape Canaveral",-,-80.53,28.46,0.01,SPFL,-,-,-
SRL,RW03/21,-,LP,,1959,1967,SRL   RW03/21,"RW03/21, Smith Ranch Lake, Nevada",-,-117.5,39.25,0.02,NASA/USAF,-,-,-
SUIST,LA1,-,LP,,1962,*,SUIST -,"Launch Area 1, Royal Artillery Guided Weapons Range, South Uist, Hebrides",-,-7.411,57.3697,0.001,MOD,-,-,-
SUIST,LA2,-,LP,,1962,*,SUIST -,"Launch Area 2, Royal Artillery Guided Weapons Range, South Uist, Hebrides",-,-7.3982,57.3458,0.001,MOD,-,-,-
SUIST,C1,-,LP,,1962,*,SUIST -,"Corporal Launch Area, Guided Weapons Range, South Uist, Hebrides",-,-7.4033,57.3609,0.001,MOD,-,-,-
SUIST,C2,-,LP,,1962,*,SUIST -,"Corporal Launch Area, Guided Weapons Range, South Uist, Hebrides",-,-7.405,57.3635,0.001,MOD,-,-,-
SUIST,C3,-,LP,,1962,*,SUIST -,"Corporal Launch Area, Guided Weapons Range, South Uist, Hebrides",-,-7.4068,57.366,0.001,MOD,-,-,-
SUIST,T1,-,LP,,1962,*,SUIST -,"Target Launch Area, Guided Weapons Range, South Uist, Hebrides",-,-7.3945,57.3579,0.001,MOD,-,-,-
SUIST,Bornish,-,LP,,1962,*,SUIST -,"Bornish Launch Area, Guided Weapons Range, South Uist, Hebrides",-,-7.4568,57.2415,0.001,MOD,-,-,-
SVAL,LONG,-,LP,,Nov-97,*,SVAL  LONG,"Longyearbyen, Svalbard, Spitzbergen",-,15.7,78.2,0.0001,N,-,-,-
SV3,LM6-DS,-,LP,,20-Nov-69,20-Nov-69,SV3   LM6-DS,"LM6 Descent Stage, Surveyor 3 Site, Mare Insularum, Montes Riphaeus A2",Luna,23.38,-3.2,0.01,NASA,-,-,-
SPAM,RW 16/34,-,LP,,Oct-10,*,SWRS  GBRS,"Governor Bill Richardson Spaceway, RW  16/34  Spaceport America, New Mexico",-,-106.9722,32.9909,0.0001,NMSPA,-,-,-
SPAM,VLA LC1,-,LP,,Oct-10,*,SPAM  LC1,"Launch Complex 1, Vertical Launch Area, Spaceport America",-,-106.9066,32.9403,0.0001,NMSPA,-,-,-
SPAM,VLA LLP,-,LP,,Oct-10,*,SPAM  LLP,"Lunar Lander Pads, Vertical Launch Area, Spaceport America",-,-106.9224,32.9436,0.0001,NMSPA,-,-,-
TATS,LC733/1,-,LP,,1980s,1980s,TATS  -,"Tatishchevo ICBM base, Russia",-,45.57,51.67,0.02,RVSN,-,-,-
TATS,LC733/5,-,LP,,1980s,1980s,TATS  -,"Tatishchevo ICBM base, Russia",-,45.57,51.67,0.02,RVSN,-,-,-
TATS,LC733/6,-,LP,,1980s,1980s,TATS  -,"Tatishchevo ICBM base, Russia",-,45.57,51.67,0.02,RVSN,-,-,-
TERLS,Pad 1,-,LP,,1963,*,TERLS Pad 1,"Pad 1, Thumba Equatorial Rocket Launch Station, Trivandrum, Kerala, India",-,76.87,8.53,0.02,ISRO,-,-,-
TERLS,Pad 2,-,LP,,1963,*,TERLS Pad 2,"Pad 2, Thumba Equatorial Rocket Launch Station, Trivandrum, Kerala, India",-,76.87,8.53,0.02,ISRO,-,-,-
TERLS,Pad 3,-,LP,,1963,*,TERLS Pad 3,"Pad 3, Thumba Equatorial Rocket Launch Station, Trivandrum, Kerala, India",-,76.87,8.53,0.02,ISRO,-,-,-
TERLS,Pad 4,-,LP,,1963,*,TERLS Pad 4,"Pad 4, Thumba Equatorial Rocket Launch Station, Trivandrum, Kerala, India",-,76.87,8.53,0.02,ISRO,-,-,-
TERLS,Pad 5,-,LP,,1963,*,TERLS Pad 5,"LC5,  Thumba Equatorial Rocket Launch Station, Trivandrum, Kerala, India",-,76.87,8.53,0.02,ISRO,-,-,-
TEYK,LC15/1,-,LP,,1960s,1990,TEYK,"Teykovo Missile Base, Russia",-,40.44,56.7,0.01,RVSN,-,-,-
TEYK,LC15/2,-,LP,,1960s,1990,TEYK,"Teykovo Missile Base, Russia",-,40.44,56.7,0.01,RVSN,-,-,-
TEYK,LC15/7/1,-,LP,,1960s,1990,TEYK,"Teykovo Missile Base, Russia",-,40.44,56.7,0.01,RVSN,-,-,-
TEYK,LC15/7/9,-,LP,,1960s,1990,TEYK,"Teykovo Missile Base, Russia",-,40.44,56.7,0.01,RVSN,-,-,-
TEYK,LC15/8/7,-,LP,,1960s,1990,TEYK,"Teykovo Missile Base, Russia",-,40.44,56.7,0.01,RVSN,-,-,-
TEYK,LC15/33,-,LP,,1960s,1990,TEYK,"Teykovo Missile Base, Russia",-,40.44,56.7,0.01,RVSN,-,-,-
TEYK,LC15/52,-,LP,,1960s,1990,TEYK,"Teykovo Missile Base, Russia",-,40.44,56.7,0.01,RVSN,-,-,-
TEYK,LC15/53,-,LP,,1960s,1990,TEYK,"Teykovo Missile Base, Russia",-,40.44,56.7,0.01,RVSN,-,-,-
THU,TUTO,-,LP,,1964,1966,THU   TUTO,"Thule/Camp Tuto (Geopole Station), Halvo, Kalaallit Nunaat",-,-68.32,76.43,0.02,USAF,-,-,-
TNSC,N,-,LP,,1975,*,TNSC  N,"N Launch Complex, Osaki Launch Site, Tanegashima Space Center",-,130.9703,30.3995,0.0001,NASDA,-,-,-
TNSC,Q,-,LP,,1975,1975,TNSC  Q,"Q Launch Complex, Osaki Launch Site, Tanegashima Space Center",-,130.9685,30.3985,0.0005,NASDA,-,-,-
TNSC,T,-,LP,,1975,*,TNSC  T,"Takesaki Launch Site, Tanegashima Space Center",-,130.9625,30.376,0.0001,NASDA,-,-,-
TNSC,Y,-,LP,,1992,*,TNSC  Y,"Yoshinobu Launch Complex, Osaki Site, Tanegashima Space Center",-,130.9776,30.4008,0.0001,NASDA,-,-,-
TNSC,Y2,-,LP,,1992,*,TNSC  Y,"Yoshinobu Launch Complex, Osaki Site, Tanegashima Space Center",-,130.9754,30.4009,0.0001,NASDA,-,-,-
TORT,VB,-,LP,,Feb-66,May-68,VB    -,"Camp Tortuguero, Arecibo, Vega Baja, Puerto Rico",-,-66.4389,18.4826,0.001,USAF,-,-,-
TORT,HAD,-,LP,,25-May-92,*,TORT  HAD,"HAD launcher, Camp Tortuguero, Arecibo, Puerto Rico",-,-66.4395,18.4829,0.0001,NASA,-,-,-
TORT,MRL,-,LP,,25-May-92,*,TORT  MRL,"MRL launcher, Camp Tortuguero, Arecibo, Puerto Rico",-,-66.4392,18.4831,0.0001,NASA,-,-,-
TRAN,LM5-DS,-,LP,,21-Jul-69,21-Jul-69,TRAN  LM5-DS,"LM 5 DS, Tranquility Base, Mare Tranquillitatis, Julius Caesar C4",Luna,23.43,0.69,0.01,NASA,-,-,-
TTR,UL3,-,LP,,1957,*,TTR   UL3,"Universal Launcher No. 3, Tonopah Test Range, Nevada",-,-116.75,37.75,0.03,SAND,-,-,-
TTR,HAD4,-,LP,,1957,*,TTR   HAD4,"HAD Launcher No. 4, Tonopah Test Range, Nevada",-,-116.75,37.75,0.03,SAND,-,-,-
TTR,5IN,-,LP,,1957,*,TTR   -,"5-in gun, Tonopah Test Range, Nevada",-,-116.75,37.75,0.03,SAND,-,-,-
TYSC,LC7,-,LP,,1988,*,TYSC  LC7,"Pad 7, Taiyuan Space Center, Wuzhai, Shanxi, China",-,111.6081,38.8488,0.0002,CN,-,-,-
TYSC,LC9,-,LP,,20-Aug,*,TYSC  LC9,"Pad 9, Taiyuan Space Center, Wuzhai, Shanxi, China",-,111.5895,38.8632,0.0002,CN,-,-,-
TYSC,LC16,-,LP,,2015,*,TYSC  LC16,"Pad 16, Taiyuan Space Center, Wuzhai, Shanxi, China",-,111.5802,38.8681,0.0002,CN,-,-,-
TYUM,LC12/2,-,LP,,1960s,1980s,TYUM,"Tyumen' missile base, Russia",-,65.57,56.85,0.03,RVSN,-,-,-
TYUM,LC13,-,LP,,1960s,1980s,TYUM,"Tyumen' missile base, Russia",-,65.57,56.85,0.03,RVSN,-,-,-
TYUM,LC13/3,-,LP,,1960s,1980s,TYUM,"Tyumen' missile base, Russia",-,65.57,56.85,0.03,RVSN,-,-,-
UNKMR1,M9104,-,LP,,-,-,UNKO  M9104,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9105,-,LP,,-,-,UNKO  M9105,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9106,-,LP,,-,-,UNKO  M9106,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9107,-,LP,,-,-,UNKO  M9107,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9108,-,LP,,-,-,UNKO  M9108,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9109,-,LP,,-,-,UNKO  M9109,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9110,-,LP,,-,-,UNKO  M9110,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9111,-,LP,,-,-,UNKO  M9111,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9112,-,LP,,-,-,UNKO  M9112,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9113,-,LP,,-,-,UNKO  M9113,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9114,-,LP,,-,-,UNKO  M9114,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9115,-,LP,,-,-,UNKO  M9115,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9116,-,LP,,-,-,UNKO  M9116,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9117,-,LP,,-,-,UNKO  M9117,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9118,-,LP,,-,-,UNKO  M9118,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9119,-,LP,,-,-,UNKO  M9119,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9154,-,LP,,-,-,UNKO  M9154,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9155,-,LP,,-,-,UNKO  M9155,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9156,-,LP,,-,-,UNKO  M9156,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9157,-,LP,,-,-,UNKO  M9157,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9158,-,LP,,-,-,UNKO  M9158,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9159,-,LP,,-,-,UNKO  M9159,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9160,-,LP,,-,-,UNKO  M9160,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR1,M9169,-,LP,,-,-,UNKO  M9169,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR2,M9170,-,LP,,-,-,UNKO  M9170,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR2,M9173,-,LP,,-,-,UNKO  M9173,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR2,M9174,-,LP,,-,-,UNKO  M9174,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
UNKMR2,M9175,-,LP,,-,-,UNKO  M9175,Unknown Soviet cruise meteo launch site,-,,,,-,-,-,-
